"country","year","sex","age","num_suicides","population","suicides_100k","key","gdp","gdp_per_capita","generation","region"
"Argentina",2004,"male","55-74",500,2459960,20.33,"Argentina2004",164657930453,4683,"Silent","Latin America & Caribbean"
"Argentina",2004,"male","15-24",653,3333328,19.59,"Argentina2004",164657930453,4683,"Millenials","Latin America & Caribbean"
"Argentina",2004,"male","25-34",445,2930079,15.19,"Argentina2004",164657930453,4683,"Generation X","Latin America & Caribbean"
"Argentina",2004,"male","35-54",599,4284709,13.98,"Argentina2004",164657930453,4683,"Boomers","Latin America & Caribbean"
"Argentina",2004,"female","15-24",159,3255244,4.88,"Argentina2004",164657930453,4683,"Millenials","Latin America & Caribbean"
"Argentina",2004,"female","55-74",136,2895423,4.7,"Argentina2004",164657930453,4683,"Silent","Latin America & Caribbean"
"Argentina",2004,"female","75+",50,1073648,4.66,"Argentina2004",164657930453,4683,"Silent","Latin America & Caribbean"
"Argentina",2004,"female","35-54",185,4450210,4.16,"Argentina2004",164657930453,4683,"Boomers","Latin America & Caribbean"
"Argentina",2004,"female","25-34",99,2940630,3.37,"Argentina2004",164657930453,4683,"Generation X","Latin America & Caribbean"
"Argentina",2004,"male","5-14",43,3530061,1.22,"Argentina2004",164657930453,4683,"Millenials","Latin America & Caribbean"
"Argentina",2004,"female","5-14",25,3416244,0.73,"Argentina2004",164657930453,4683,"Millenials","Latin America & Caribbean"
"Argentina",2005,"male","75+",225,601176,37.43,"Argentina2005",198737095012,5590,"Silent","Latin America & Caribbean"
"Argentina",2005,"male","55-74",489,2505136,19.52,"Argentina2005",198737095012,5590,"Silent","Latin America & Caribbean"
"Argentina",2005,"male","15-24",638,3343414,19.08,"Argentina2005",198737095012,5590,"Millenials","Latin America & Caribbean"
"Argentina",2005,"male","25-34",451,3004991,15.01,"Argentina2005",198737095012,5590,"Generation X","Latin America & Caribbean"
"Argentina",2005,"male","35-54",539,4336453,12.43,"Argentina2005",198737095012,5590,"Boomers","Latin America & Caribbean"
"Argentina",2005,"female","55-74",161,2943135,5.47,"Argentina2005",198737095012,5590,"Silent","Latin America & Caribbean"
"Argentina",2005,"female","75+",59,1101024,5.36,"Argentina2005",198737095012,5590,"Silent","Latin America & Caribbean"
"Argentina",2005,"female","15-24",148,3260468,4.54,"Argentina2005",198737095012,5590,"Millenials","Latin America & Caribbean"
"Argentina",2005,"female","35-54",171,4500787,3.8,"Argentina2005",198737095012,5590,"Boomers","Latin America & Caribbean"
"Argentina",2005,"female","25-34",104,3011376,3.45,"Argentina2005",198737095012,5590,"Generation X","Latin America & Caribbean"
"Argentina",2005,"male","5-14",52,3528848,1.47,"Argentina2005",198737095012,5590,"Millenials","Latin America & Caribbean"
"Argentina",2005,"female","5-14",21,3413809,0.62,"Argentina2005",198737095012,5590,"Millenials","Latin America & Caribbean"
"Argentina",2006,"male","75+",246,620010,39.68,"Argentina2006",232557260817,6475,"Silent","Latin America & Caribbean"
"Argentina",2006,"male","15-24",656,3357424,19.54,"Argentina2006",232557260817,6475,"Millenials","Latin America & Caribbean"
"Argentina",2006,"male","55-74",487,2540712,19.17,"Argentina2006",232557260817,6475,"Silent","Latin America & Caribbean"
"Argentina",2006,"male","25-34",483,3068991,15.74,"Argentina2006",232557260817,6475,"Generation X","Latin America & Caribbean"
"Argentina",2006,"male","35-54",585,4383730,13.34,"Argentina2006",232557260817,6475,"Boomers","Latin America & Caribbean"
"Argentina",2006,"female","15-24",175,3271703,5.35,"Argentina2006",232557260817,6475,"Millenials","Latin America & Caribbean"
"Argentina",2006,"female","55-74",115,2983954,3.85,"Argentina2006",232557260817,6475,"Silent","Latin America & Caribbean"
"Argentina",2006,"female","35-54",160,4549471,3.52,"Argentina2006",232557260817,6475,"Boomers","Latin America & Caribbean"
"Argentina",2006,"female","25-34",105,3070419,3.42,"Argentina2006",232557260817,6475,"Generation X","Latin America & Caribbean"
"Argentina",2006,"female","75+",31,1132977,2.74,"Argentina2006",232557260817,6475,"Silent","Latin America & Caribbean"
"Argentina",2006,"male","5-14",39,3527369,1.11,"Argentina2006",232557260817,6475,"Millenials","Latin America & Caribbean"
"Argentina",2006,"female","5-14",26,3412126,0.76,"Argentina2006",232557260817,6475,"Millenials","Latin America & Caribbean"
"Argentina",2007,"male","75+",225,634995,35.43,"Argentina2007",287530508431,7918,"Silent","Latin America & Caribbean"
"Argentina",2007,"male","15-24",577,3381171,17.07,"Argentina2007",287530508431,7918,"Millenials","Latin America & Caribbean"
"Argentina",2007,"male","55-74",438,2582754,16.96,"Argentina2007",287530508431,7918,"Silent","Latin America & Caribbean"
"Argentina",2007,"male","25-34",490,3125322,15.68,"Argentina2007",287530508431,7918,"Generation X","Latin America & Caribbean"
"Argentina",2007,"male","35-54",571,4436541,12.87,"Argentina2007",287530508431,7918,"Boomers","Latin America & Caribbean"
"Argentina",2007,"female","15-24",146,3292790,4.43,"Argentina2007",287530508431,7918,"Millenials","Latin America & Caribbean"
"Argentina",2007,"female","25-34",126,3120162,4.04,"Argentina2007",287530508431,7918,"Generation X","Latin America & Caribbean"
"Argentina",2007,"female","55-74",108,3033008,3.56,"Argentina2007",287530508431,7918,"Silent","Latin America & Caribbean"
"Argentina",2007,"female","35-54",155,4601874,3.37,"Argentina2007",287530508431,7918,"Boomers","Latin America & Caribbean"
"Argentina",2007,"female","75+",31,1161794,2.67,"Argentina2007",287530508431,7918,"Silent","Latin America & Caribbean"
"Argentina",2007,"male","5-14",45,3530454,1.27,"Argentina2007",287530508431,7918,"Generation Z","Latin America & Caribbean"
"Argentina",2007,"female","5-14",34,3414627,1,"Argentina2007",287530508431,7918,"Generation Z","Latin America & Caribbean"
"Argentina",2008,"male","75+",208,646185,32.19,"Argentina2008",361558037110,9843,"Silent","Latin America & Caribbean"
"Argentina",2008,"male","15-24",625,3410092,18.33,"Argentina2008",361558037110,9843,"Millenials","Latin America & Caribbean"
"Argentina",2008,"male","55-74",463,2630686,17.6,"Argentina2008",361558037110,9843,"Silent","Latin America & Caribbean"
"Argentina",2008,"male","25-34",531,3172743,16.74,"Argentina2008",361558037110,9843,"Generation X","Latin America & Caribbean"
"Argentina",2008,"male","35-54",582,4496672,12.94,"Argentina2008",361558037110,9843,"Boomers","Latin America & Caribbean"
"Argentina",2008,"female","15-24",180,3319037,5.42,"Argentina2008",361558037110,9843,"Millenials","Latin America & Caribbean"
"Argentina",2008,"female","35-54",173,4660022,3.71,"Argentina2008",361558037110,9843,"Boomers","Latin America & Caribbean"
"Argentina",2008,"female","55-74",108,3088727,3.5,"Argentina2008",361558037110,9843,"Silent","Latin America & Caribbean"
"Argentina",2008,"female","75+",36,1188016,3.03,"Argentina2008",361558037110,9843,"Silent","Latin America & Caribbean"
"Argentina",2008,"female","25-34",94,3159967,2.97,"Argentina2008",361558037110,9843,"Generation X","Latin America & Caribbean"
"Argentina",2008,"male","5-14",39,3539110,1.1,"Argentina2008",361558037110,9843,"Generation Z","Latin America & Caribbean"
"Argentina",2008,"female","5-14",20,3422263,0.58,"Argentina2008",361558037110,9843,"Generation Z","Latin America & Caribbean"
"Argentina",2009,"male","75+",177,653486,27.09,"Argentina2009",332976484578,8961,"Silent","Latin America & Caribbean"
"Argentina",2009,"male","15-24",609,3436265,17.72,"Argentina2009",332976484578,8961,"Millenials","Latin America & Caribbean"
"Argentina",2009,"male","55-74",434,2683502,16.17,"Argentina2009",332976484578,8961,"Silent","Latin America & Caribbean"
"Argentina",2009,"male","25-34",504,3210244,15.7,"Argentina2009",332976484578,8961,"Generation X","Latin America & Caribbean"
"Argentina",2009,"male","35-54",542,4566645,11.87,"Argentina2009",332976484578,8961,"Boomers","Latin America & Caribbean"
"Argentina",2009,"female","15-24",164,3342385,4.91,"Argentina2009",332976484578,8961,"Millenials","Latin America & Caribbean"
"Argentina",2009,"female","55-74",112,3148915,3.56,"Argentina2009",332976484578,8961,"Silent","Latin America & Caribbean"
"Argentina",2009,"female","25-34",105,3189773,3.29,"Argentina2009",332976484578,8961,"Generation X","Latin America & Caribbean"
"Argentina",2009,"female","35-54",150,4726814,3.17,"Argentina2009",332976484578,8961,"Boomers","Latin America & Caribbean"
"Argentina",2009,"female","75+",25,1211934,2.06,"Argentina2009",332976484578,8961,"Silent","Latin America & Caribbean"
"Argentina",2009,"male","5-14",34,3553154,0.96,"Argentina2009",332976484578,8961,"Generation Z","Latin America & Caribbean"
"Argentina",2009,"female","5-14",28,3434884,0.82,"Argentina2009",332976484578,8961,"Generation Z","Latin America & Caribbean"
"Argentina",2010,"male","75+",206,657096,31.35,"Argentina2010",423627422092,11273,"Silent","Latin America & Caribbean"
"Argentina",2010,"male","15-24",683,3455127,19.77,"Argentina2010",423627422092,11273,"Millenials","Latin America & Caribbean"
"Argentina",2010,"male","25-34",485,3237957,14.98,"Argentina2010",423627422092,11273,"Generation X","Latin America & Caribbean"
"Argentina",2010,"male","55-74",397,2740656,14.49,"Argentina2010",423627422092,11273,"Silent","Latin America & Caribbean"
"Argentina",2010,"male","35-54",573,4648068,12.33,"Argentina2010",423627422092,11273,"Generation X","Latin America & Caribbean"
"Argentina",2010,"female","15-24",150,3358103,4.47,"Argentina2010",423627422092,11273,"Millenials","Latin America & Caribbean"
"Argentina",2010,"female","35-54",162,4804030,3.37,"Argentina2010",423627422092,11273,"Generation X","Latin America & Caribbean"
"Argentina",2010,"female","25-34",101,3210247,3.15,"Argentina2010",423627422092,11273,"Generation X","Latin America & Caribbean"
"Argentina",2010,"female","55-74",99,3212253,3.08,"Argentina2010",423627422092,11273,"Silent","Latin America & Caribbean"
"Argentina",2010,"female","75+",34,1234182,2.75,"Argentina2010",423627422092,11273,"Silent","Latin America & Caribbean"
"Argentina",2010,"male","5-14",33,3570316,0.92,"Argentina2010",423627422092,11273,"Generation Z","Latin America & Caribbean"
"Argentina",2010,"female","5-14",20,3450419,0.58,"Argentina2010",423627422092,11273,"Generation Z","Latin America & Caribbean"
"Argentina",2011,"male","75+",178,674738,26.38,"Argentina2011",530163281575,13946,"Silent","Latin America & Caribbean"
"Argentina",2011,"male","15-24",693,3471151,19.96,"Argentina2011",530163281575,13946,"Millenials","Latin America & Caribbean"
"Argentina",2011,"male","25-34",510,3258804,15.65,"Argentina2011",530163281575,13946,"Millenials","Latin America & Caribbean"
"Argentina",2011,"male","55-74",416,2788575,14.92,"Argentina2011",530163281575,13946,"Boomers","Latin America & Caribbean"
"Argentina",2011,"male","35-54",504,4738525,10.64,"Argentina2011",530163281575,13946,"Generation X","Latin America & Caribbean"
"Argentina",2011,"female","15-24",172,3372659,5.1,"Argentina2011",530163281575,13946,"Millenials","Latin America & Caribbean"
"Argentina",2011,"female","35-54",157,4893085,3.21,"Argentina2011",530163281575,13946,"Generation X","Latin America & Caribbean"
"Argentina",2011,"female","25-34",102,3224774,3.16,"Argentina2011",530163281575,13946,"Millenials","Latin America & Caribbean"
"Argentina",2011,"female","55-74",93,3268753,2.85,"Argentina2011",530163281575,13946,"Boomers","Latin America & Caribbean"
"Argentina",2011,"female","75+",30,1260121,2.38,"Argentina2011",530163281575,13946,"Silent","Latin America & Caribbean"
"Argentina",2011,"female","5-14",29,3472180,0.84,"Argentina2011",530163281575,13946,"Generation Z","Latin America & Caribbean"
"Argentina",2011,"male","5-14",28,3592374,0.78,"Argentina2011",530163281575,13946,"Generation Z","Latin America & Caribbean"
"Argentina",2012,"male","75+",225,688560,32.68,"Argentina2012",545982375701,14203,"Silent","Latin America & Caribbean"
"Argentina",2012,"male","15-24",745,3480902,21.4,"Argentina2012",545982375701,14203,"Millenials","Latin America & Caribbean"
"Argentina",2012,"male","25-34",616,3268154,18.85,"Argentina2012",545982375701,14203,"Millenials","Latin America & Caribbean"
"Argentina",2012,"male","55-74",451,2839783,15.88,"Argentina2012",545982375701,14203,"Boomers","Latin America & Caribbean"
"Argentina",2012,"male","35-54",554,4841057,11.44,"Argentina2012",545982375701,14203,"Generation X","Latin America & Caribbean"
"Argentina",2012,"female","15-24",204,3380770,6.03,"Argentina2012",545982375701,14203,"Millenials","Latin America & Caribbean"
"Argentina",2012,"female","35-54",164,4993138,3.28,"Argentina2012",545982375701,14203,"Generation X","Latin America & Caribbean"
"Argentina",2012,"female","55-74",108,3328463,3.24,"Argentina2012",545982375701,14203,"Boomers","Latin America & Caribbean"
"Argentina",2012,"female","25-34",102,3228400,3.16,"Argentina2012",545982375701,14203,"Millenials","Latin America & Caribbean"
"Argentina",2012,"female","75+",33,1282726,2.57,"Argentina2012",545982375701,14203,"Silent","Latin America & Caribbean"
"Argentina",2012,"male","5-14",29,3615254,0.8,"Argentina2012",545982375701,14203,"Generation Z","Latin America & Caribbean"
"Argentina",2012,"female","5-14",17,3494571,0.49,"Argentina2012",545982375701,14203,"Generation Z","Latin America & Caribbean"
"Argentina",2013,"male","75+",168,699046,24.03,"Argentina2013",552025140252,14206,"Silent","Latin America & Caribbean"
"Argentina",2013,"male","15-24",696,3486661,19.96,"Argentina2013",552025140252,14206,"Millenials","Latin America & Caribbean"
"Argentina",2013,"male","25-34",499,3271373,15.25,"Argentina2013",552025140252,14206,"Millenials","Latin America & Caribbean"
"Argentina",2013,"male","55-74",398,2894129,13.75,"Argentina2013",552025140252,14206,"Boomers","Latin America & Caribbean"
"Argentina",2013,"male","35-54",604,4950850,12.2,"Argentina2013",552025140252,14206,"Generation X","Latin America & Caribbean"
"Argentina",2013,"female","15-24",167,3384642,4.93,"Argentina2013",552025140252,14206,"Millenials","Latin America & Caribbean"
"Argentina",2013,"female","25-34",102,3226464,3.16,"Argentina2013",552025140252,14206,"Millenials","Latin America & Caribbean"
"Argentina",2013,"female","35-54",157,5099167,3.08,"Argentina2013",552025140252,14206,"Generation X","Latin America & Caribbean"
"Argentina",2013,"female","55-74",102,3390673,3.01,"Argentina2013",552025140252,14206,"Boomers","Latin America & Caribbean"
"Argentina",2013,"female","75+",29,1303352,2.23,"Argentina2013",552025140252,14206,"Silent","Latin America & Caribbean"
"Argentina",2013,"female","5-14",32,3515742,0.91,"Argentina2013",552025140252,14206,"Generation Z","Latin America & Caribbean"
"Argentina",2013,"male","5-14",33,3637026,0.91,"Argentina2013",552025140252,14206,"Generation Z","Latin America & Caribbean"
"Argentina",2014,"male","75+",192,706897,27.16,"Argentina2014",526319673732,13400,"Silent","Latin America & Caribbean"
"Argentina",2014,"male","15-24",738,3492454,21.13,"Argentina2014",526319673732,13400,"Millenials","Latin America & Caribbean"
"Argentina",2014,"male","25-34",531,3276955,16.2,"Argentina2014",526319673732,13400,"Millenials","Latin America & Caribbean"
"Argentina",2014,"male","55-74",405,2951616,13.72,"Argentina2014",526319673732,13400,"Boomers","Latin America & Caribbean"
"Argentina",2014,"male","35-54",644,5060862,12.73,"Argentina2014",526319673732,13400,"Generation X","Latin America & Caribbean"
"Argentina",2014,"female","15-24",204,3388324,6.02,"Argentina2014",526319673732,13400,"Millenials","Latin America & Caribbean"
"Argentina",2014,"female","35-54",196,5203634,3.77,"Argentina2014",526319673732,13400,"Generation X","Latin America & Caribbean"
"Argentina",2014,"female","25-34",118,3227239,3.66,"Argentina2014",526319673732,13400,"Millenials","Latin America & Caribbean"
"Argentina",2014,"female","55-74",109,3454994,3.15,"Argentina2014",526319673732,13400,"Boomers","Latin America & Caribbean"
"Argentina",2014,"female","75+",25,1323654,1.89,"Argentina2014",526319673732,13400,"Silent","Latin America & Caribbean"
"Argentina",2014,"female","5-14",35,3533961,0.99,"Argentina2014",526319673732,13400,"Generation Z","Latin America & Caribbean"
"Argentina",2014,"male","5-14",34,3655965,0.93,"Argentina2014",526319673732,13400,"Generation Z","Latin America & Caribbean"
"Argentina",2015,"male","75+",245,712691,34.38,"Argentina2015",594749285413,14981,"Silent","Latin America & Caribbean"
"Argentina",2015,"male","15-24",656,3500580,18.74,"Argentina2015",594749285413,14981,"Millenials","Latin America & Caribbean"
"Argentina",2015,"male","55-74",431,3011963,14.31,"Argentina2015",594749285413,14981,"Boomers","Latin America & Caribbean"
"Argentina",2015,"male","25-34",465,3289927,14.13,"Argentina2015",594749285413,14981,"Millenials","Latin America & Caribbean"
"Argentina",2015,"male","35-54",633,5166179,12.25,"Argentina2015",594749285413,14981,"Generation X","Latin America & Caribbean"
"Argentina",2015,"female","15-24",153,3394201,4.51,"Argentina2015",594749285413,14981,"Millenials","Latin America & Caribbean"
"Argentina",2015,"female","55-74",125,3520779,3.55,"Argentina2015",594749285413,14981,"Boomers","Latin America & Caribbean"
"Argentina",2015,"female","25-34",114,3235582,3.52,"Argentina2015",594749285413,14981,"Millenials","Latin America & Caribbean"
"Argentina",2015,"female","35-54",166,5301368,3.13,"Argentina2015",594749285413,14981,"Generation X","Latin America & Caribbean"
"Argentina",2015,"female","75+",27,1344980,2.01,"Argentina2015",594749285413,14981,"Silent","Latin America & Caribbean"
"Argentina",2015,"male","5-14",39,3672155,1.06,"Argentina2015",594749285413,14981,"Generation Z","Latin America & Caribbean"
"Argentina",2015,"female","5-14",19,3549219,0.54,"Argentina2015",594749285413,14981,"Generation Z","Latin America & Caribbean"
"Austria",2002,"male","75+",187,187295,99.84,"Austria2002",213377771504,27772,"Silent","Europe & Central Asia"
"Austria",2002,"male","55-74",322,747406,43.08,"Austria2002",213377771504,27772,"Silent","Europe & Central Asia"
"Austria",2002,"male","35-54",422,1214866,34.74,"Austria2002",213377771504,27772,"Boomers","Europe & Central Asia"
"Austria",2002,"male","25-34",158,586771,26.93,"Austria2002",213377771504,27772,"Generation X","Europe & Central Asia"
"Austria",2002,"male","15-24",99,494122,20.04,"Austria2002",213377771504,27772,"Millenials","Europe & Central Asia"
"Austria",2002,"female","75+",80,410636,19.48,"Austria2002",213377771504,27772,"Silent","Europe & Central Asia"
"Austria",2002,"female","55-74",105,841432,12.48,"Austria2002",213377771504,27772,"Silent","Europe & Central Asia"
"Austria",2002,"female","35-54",129,1197653,10.77,"Austria2002",213377771504,27772,"Boomers","Europe & Central Asia"
"Austria",2002,"female","25-34",30,583877,5.14,"Austria2002",213377771504,27772,"Generation X","Europe & Central Asia"
"Austria",2002,"female","15-24",17,475095,3.58,"Austria2002",213377771504,27772,"Millenials","Europe & Central Asia"
"Austria",2002,"female","5-14",2,460277,0.43,"Austria2002",213377771504,27772,"Millenials","Europe & Central Asia"
"Austria",2002,"male","5-14",2,483732,0.41,"Austria2002",213377771504,27772,"Millenials","Europe & Central Asia"
"Austria",2003,"male","75+",177,193846,91.31,"Austria2003",261695778781,33889,"Silent","Europe & Central Asia"
"Austria",2003,"male","55-74",308,759680,40.54,"Austria2003",261695778781,33889,"Silent","Europe & Central Asia"
"Austria",2003,"male","35-54",371,1231545,30.12,"Austria2003",261695778781,33889,"Boomers","Europe & Central Asia"
"Austria",2003,"male","25-34",118,569434,20.72,"Austria2003",261695778781,33889,"Generation X","Europe & Central Asia"
"Austria",2003,"female","75+",84,412619,20.36,"Austria2003",261695778781,33889,"Silent","Europe & Central Asia"
"Austria",2003,"male","15-24",91,501938,18.13,"Austria2003",261695778781,33889,"Millenials","Europe & Central Asia"
"Austria",2003,"female","55-74",102,851030,11.99,"Austria2003",261695778781,33889,"Silent","Europe & Central Asia"
"Austria",2003,"female","35-54",141,1213566,11.62,"Austria2003",261695778781,33889,"Boomers","Europe & Central Asia"
"Austria",2003,"female","15-24",29,482866,6.01,"Austria2003",261695778781,33889,"Millenials","Europe & Central Asia"
"Austria",2003,"female","25-34",32,567665,5.64,"Austria2003",261695778781,33889,"Generation X","Europe & Central Asia"
"Austria",2003,"male","5-14",3,480502,0.62,"Austria2003",261695778781,33889,"Millenials","Europe & Central Asia"
"Austria",2003,"female","5-14",0,457342,0,"Austria2003",261695778781,33889,"Millenials","Europe & Central Asia"
"Austria",2004,"male","75+",189,201792,93.66,"Austria2004",300904221505,38711,"Silent","Europe & Central Asia"
"Austria",2004,"male","55-74",308,771847,39.9,"Austria2004",300904221505,38711,"Silent","Europe & Central Asia"
"Austria",2004,"male","35-54",347,1248808,27.79,"Austria2004",300904221505,38711,"Boomers","Europe & Central Asia"
"Austria",2004,"male","15-24",110,509514,21.59,"Austria2004",300904221505,38711,"Millenials","Europe & Central Asia"
"Austria",2004,"male","25-34",120,555892,21.59,"Austria2004",300904221505,38711,"Generation X","Europe & Central Asia"
"Austria",2004,"female","75+",73,416777,17.52,"Austria2004",300904221505,38711,"Silent","Europe & Central Asia"
"Austria",2004,"female","55-74",118,860913,13.71,"Austria2004",300904221505,38711,"Silent","Europe & Central Asia"
"Austria",2004,"female","35-54",107,1231774,8.69,"Austria2004",300904221505,38711,"Boomers","Europe & Central Asia"
"Austria",2004,"female","25-34",26,554568,4.69,"Austria2004",300904221505,38711,"Generation X","Europe & Central Asia"
"Austria",2004,"female","15-24",22,491309,4.48,"Austria2004",300904221505,38711,"Millenials","Europe & Central Asia"
"Austria",2004,"male","5-14",2,476337,0.42,"Austria2004",300904221505,38711,"Millenials","Europe & Central Asia"
"Austria",2004,"female","5-14",0,453574,0,"Austria2004",300904221505,38711,"Millenials","Europe & Central Asia"
"Austria",2005,"male","75+",166,210054,79.03,"Austria2005",315974418605,40367,"Silent","Europe & Central Asia"
"Austria",2005,"male","55-74",331,782050,42.32,"Austria2005",315974418605,40367,"Silent","Europe & Central Asia"
"Austria",2005,"male","35-54",364,1266464,28.74,"Austria2005",315974418605,40367,"Boomers","Europe & Central Asia"
"Austria",2005,"female","75+",81,421281,19.23,"Austria2005",315974418605,40367,"Silent","Europe & Central Asia"
"Austria",2005,"male","25-34",102,548943,18.58,"Austria2005",315974418605,40367,"Generation X","Europe & Central Asia"
"Austria",2005,"male","15-24",83,515674,16.1,"Austria2005",315974418605,40367,"Millenials","Europe & Central Asia"
"Austria",2005,"female","55-74",96,869065,11.05,"Austria2005",315974418605,40367,"Silent","Europe & Central Asia"
"Austria",2005,"female","35-54",121,1250028,9.68,"Austria2005",315974418605,40367,"Boomers","Europe & Central Asia"
"Austria",2005,"female","25-34",33,546238,6.04,"Austria2005",315974418605,40367,"Generation X","Europe & Central Asia"
"Austria",2005,"female","15-24",18,497688,3.62,"Austria2005",315974418605,40367,"Millenials","Europe & Central Asia"
"Austria",2005,"male","5-14",3,471447,0.64,"Austria2005",315974418605,40367,"Millenials","Europe & Central Asia"
"Austria",2005,"female","5-14",1,448529,0.22,"Austria2005",315974418605,40367,"Millenials","Europe & Central Asia"
"Austria",2006,"male","75+",171,218168,78.38,"Austria2006",335998557270,42698,"Silent","Europe & Central Asia"
"Austria",2006,"male","55-74",266,791509,33.61,"Austria2006",335998557270,42698,"Silent","Europe & Central Asia"
"Austria",2006,"male","35-54",382,1281251,29.81,"Austria2006",335998557270,42698,"Boomers","Europe & Central Asia"
"Austria",2006,"female","75+",81,425747,19.03,"Austria2006",335998557270,42698,"Silent","Europe & Central Asia"
"Austria",2006,"male","25-34",103,545467,18.88,"Austria2006",335998557270,42698,"Generation X","Europe & Central Asia"
"Austria",2006,"male","15-24",77,517546,14.88,"Austria2006",335998557270,42698,"Millenials","Europe & Central Asia"
"Austria",2006,"female","55-74",91,876832,10.38,"Austria2006",335998557270,42698,"Silent","Europe & Central Asia"
"Austria",2006,"female","35-54",91,1265873,7.19,"Austria2006",335998557270,42698,"Boomers","Europe & Central Asia"
"Austria",2006,"female","25-34",18,542011,3.32,"Austria2006",335998557270,42698,"Generation X","Europe & Central Asia"
"Austria",2006,"female","15-24",16,499388,3.2,"Austria2006",335998557270,42698,"Millenials","Europe & Central Asia"
"Austria",2006,"male","5-14",1,464213,0.22,"Austria2006",335998557270,42698,"Millenials","Europe & Central Asia"
"Austria",2006,"female","5-14",0,441264,0,"Austria2006",335998557270,42698,"Millenials","Europe & Central Asia"
"Austria",2007,"male","75+",170,225285,75.46,"Austria2007",388691445387,49218,"Silent","Europe & Central Asia"
"Austria",2007,"male","55-74",273,800509,34.1,"Austria2007",388691445387,49218,"Silent","Europe & Central Asia"
"Austria",2007,"male","35-54",331,1291260,25.63,"Austria2007",388691445387,49218,"Boomers","Europe & Central Asia"
"Austria",2007,"female","75+",80,428921,18.65,"Austria2007",388691445387,49218,"Silent","Europe & Central Asia"
"Austria",2007,"male","25-34",99,542760,18.24,"Austria2007",388691445387,49218,"Generation X","Europe & Central Asia"
"Austria",2007,"male","15-24",93,517817,17.96,"Austria2007",388691445387,49218,"Millenials","Europe & Central Asia"
"Austria",2007,"female","55-74",109,885212,12.31,"Austria2007",388691445387,49218,"Silent","Europe & Central Asia"
"Austria",2007,"female","35-54",88,1277479,6.89,"Austria2007",388691445387,49218,"Boomers","Europe & Central Asia"
"Austria",2007,"female","25-34",25,539763,4.63,"Austria2007",388691445387,49218,"Generation X","Europe & Central Asia"
"Austria",2007,"female","15-24",15,499804,3,"Austria2007",388691445387,49218,"Millenials","Europe & Central Asia"
